Comprensión de Textos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N°;RED;INSTITUCION_EDUCATIVA;GRADO;SECCION;TURNO;NRO_DE_ESTUDIANTES_MATRICULADOS;NRO_DE_ESTUDIANTES_EVALUADOS;P 1;P 2;P 3;P 4;P 5;P 6;P 7;P 8;P 9;P 10;P 11;P 12;P 13;P 14;P 15;P 16;P 17;P 18;P 19;P 20;;CAPACIDADES;;;;%_POR_CAPACIDAD;;;;PROMEDIO_X_SECCION
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ciencia y Tecnología;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N°;RED;INSTITUCION_EDUCATIVA;GRADO;SECCION;TURNO;NRO_DE_ESTUDIANTES_MATRICULADOS;NRO_DE_ESTUDIANTES_EVALUADOS;P 1;P 2;P 3;P 4;P 5;P 6;P 7;P 8;P 9;P 10;P 11;P 12;P 13;P 14;P 15;P 16;P 17;P 18;P 19;P 20;;CAPACIDADES;;;;%_POR_CAPACIDAD;;;;PROMEDIO_X_SECCION
;;;;;;;;C1;C1;C1;C1;C1;C1;C1;C1;C1;C1;;;;;;;;;;;;C1;;;;C1;;;;
1;1;"I.E. Nº 5116 ""DIVINO CREADOR""";6to;2;2;50;48;4;15;25;14;15;10;10;10;13;9;0;0;0;0;0;0;0;0;0;0;;3;0;0;0;27%;0%;0%;0%;6
2;1;"I.E. Nº 5122 ""ANDRES RAZURI ESTEVEZ""";6to;3;3;105;101;13;74;62;26;42;15;49;67;24;63;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;43%;0%;0%;0%;9
3;1;"I.E. Nº 5124 ""LIBERTADOR SIMON BOLIVAR""  HIROSHIMA";6to;3;3;135;135;17;71;56;38;38;23;54;60;26;46;0;0;0;0;0;0;0;0;0;0;;3;0;0;0;32%;0%;0%;0%;6
4;1;"I.E. Nº 5125 ""CASUARINAS""";6to;5;5;172;163;12;110;57;72;57;21;48;69;45;82;0;0;0;0;0;0;0;0;0;0;;3;0;0;0;36%;0%;0%;0%;7
5;1;"I.E. Nº 5127 ""MÁRTIR JOSE OLAYA """;6to;5;5;180;167;34;127;123;90;71;60;99;113;39;77;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;39%;0%;0%;0%;8
6;1;"I.E. Nº 5129 ""VENCEDORES DE PACHACÚTEC""";6to;4;4;136;127;23;84;78;59;50;31;47;91;37;52;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;44%;0%;0%;0%;9
7;1;"I.E. Nº 5130- ""PACHACÚTEC""";6to;5;5;179;163;34;98;61;75;55;41;48;91;39;65;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;37%;0%;0%;0%;8
8;1;I.E. Nº 5140 PRES. DE LA REPUBLICA DE COLOMBIA DR. ALVARO URIBE VELEZ;6to;4;0;111;110;25;55;42;45;44;53;41;66;34;68;0;3;0;0;0;0;0;0;0;0;;5;0;0;0;46%;0%;0%;0%;10
9;1;I.E. 5141;6to;3;3;107;112;42;66;61;63;38;29;47;66;34;31;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;44%;0%;0%;0%;9
10;1;I.E. Nº  5147;6to;2;2;43;40;14;25;21;24;14;14;21;27;15;26;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;47%;0%;0%;0%;9
11;1;IE Nº 5148 - LAS BRISAS DE PACHACÚTEC;6to;1;1;27;26;3;18;3;7;7;6;8;15;11;11;0;0;0;0;0;0;0;0;0;0;;3;0;0;0;34%;0%;0%;0%;7
12;1;I.E. N° 5154;6to;1;1;24;23;2;10;8;8;6;2;6;13;3;11;0;0;0;0;0;0;0;0;0;0;;3;0;0;0;30%;0%;0%;0%;6
13;1;I.E. FE Y ALEGRIA 59;6to;2;2;70;70;10;50;50;39;36;17;30;48;8;41;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;47%;0%;0%;0%;10
14;1;I.E. SAN JUAN MACIAS;6to;1;1;29;29;6;21;17;15;17;10;8;15;13;11;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;46%;0%;0%;0%;9
15;1;IE Nº 5142  - VIRGEN DE GUADALUPE;6to;2;2;75;68;6;44;29;26;24;9;21;38;11;25;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;35%;0%;0%;0%;7
16;2;"I.E. Nº 5117 ""JORGE PORTOCARRERO REBAZA""";6to;5;5;158;152;27;92;69;66;48;27;55;75;32;73;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;37%;0%;0%;0%;7
17;2;"I.E. Nº 5128 "" SAGRADO CORAZÓN DE MARIA""";6to;5;5;158;155;66;104;93;76;63;59;53;91;48;72;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;47%;0%;0%;0%;10
18;2;"I.E. Nº 5144 ""DIVINO CRISTO EN LAS ALTURAS""";6to;2;2;22;44;15;29;27;21;20;17;19;30;14;27;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;50%;0%;0%;0%;10
19;2;"I.E. Nº 5145 ""BALNEARIO""";6to;3;3;99;87;14;51;43;27;29;16;19;54;25;33;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;35%;0%;0%;0%;7
20;2;I.E. Nº 5146;6to;2;2;72;66;12;40;29;29;18;13;24;32;17;18;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;36%;0%;0%;0%;8
21;2;I.E. N° 5152;6to;1;0;37;34;6;16;18;14;10;7;13;20;13;15;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;39%;0%;0%;0%;8
22;2;"I.E. ""FE Y ALEGRIA"" Nº 76";6to;2;2;65;62;10;39;44;27;22;12;31;41;5;33;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;43%;0%;0%;0%;9
23;2;I.E. COPRODELI SAN FRANCISCO SOLANO;6to;2;0;64;62;14;47;45;39;37;22;35;47;21;40;0;0;0;0;0;0;0;0;0;0;;6;0;0;0;56%;0%;0%;0%;12
24;2;I.E. COPRODELI SAN MARTIN;6to;1;1;33;33;8;25;25;14;18;9;23;27;13;22;0;0;0;0;0;0;0;0;0;0;;6;0;0;0;56%;0%;0%;0%;11
25;2;I.E. CROPODELI SANTA MARIA ASUNTA AL CIELO;6to;2;2;64;59;9;25;26;12;14;17;15;46;10;31;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;36%;0%;0%;0%;7
26;2;I.E. N° 5156 ELIAS AGUIRRE;6to;2;2;62;59;10;36;39;22;25;8;17;25;4;26;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;36%;0%;0%;0%;7
27;3;IE N° 5087;6to;2;2;60;56;18;36;38;29;14;11;20;39;19;28;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;45%;0%;0%;0%;9
28;3;IE N° 5120;6to;2;2;65;65;35;52;19;28;31;5;18;37;9;33;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;41%;0%;0%;0%;8
29;3;FE Y ALEGRIA N°43;6to;3;3;100;99;28;68;85;59;39;31;59;85;10;54;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;52%;0%;0%;0%;11
30;3; IE N° 3720 NUESTRA SEÑORA DE LA MISERICORDIA;6to;2;2;83;81;37;54;71;42;41;17;56;67;19;64;0;0;0;0;0;0;0;0;0;0;;6;0;0;0;58%;0%;0%;0%;12
31;3;ESCUELA HOGAR COMUNITARIA REGIONAL SAGRADA FAMILIA;6to;3;3;85;85;65;58;59;37;53;50;71;50;62;32;0;0;0;0;0;0;0;0;0;0;;6;0;0;0;63%;0%;0%;0%;12
32;3;IEN°5094 NACIONES UNIDAS;6to;3;3;60;86;16;55;45;37;37;29;50;56;28;46;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;47%;0%;0%;0%;9
33;3;IEN° 5123 FRANCISCO BOLOGNESI;6to;3;3;105;102;56;76;71;45;43;44;57;65;40;62;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;55%;0%;0%;0%;11
34;3;IE N° 3089  “LOS ANGELES”;6to;4;4;130;122;24;64;59;54;40;23;33;76;39;49;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;38%;0%;0%;0%;8
35;3;IE N° 5077 “FAUSTINO SANCHEZ CARRION”;6to;5;5;163;161;51;106;105;95;76;63;68;104;38;90;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;50%;0%;0%;0%;10
36;3;IE 5121 “PEDRO PLANA SILVA”;6to;4;4;132;118;30;34;61;40;28;42;15;30;51;36;0;0;0;0;0;0;0;0;0;0;;3;0;0;0;31%;0%;0%;0%;6
37;4;IE N° 5098 KUMAMOTO;6to;2;2;77;77;14;47;39;35;21;11;25;40;19;34;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;36%;0%;0%;0%;7
38;4;IE N° 5119 VILLA EMILIA;6to;5;5;147;138;60;98;106;95;85;67;77;81;51;75;0;0;0;0;0;0;0;0;0;0;;6;0;0;0;58%;0%;0%;0%;12
39;4;IE N° 5130-2 VILLA DEL MAR;6to;1;1;27;26;4;17;9;7;7;2;6;19;12;11;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;36%;0%;0%;0%;7
40;4;IE N° 5130-4 CHAVINILLO;6to;2;2;50;47;6;28;21;12;21;22;20;23;9;20;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;38%;0%;0%;0%;8
41;4;IE N° 5135 LA SALLE;6to;2;2;60;56;7;36;42;27;18;7;12;41;10;21;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;40%;0%;0%;0%;8
42;4;IE FE Y ALEGRIA N° 33;6to;5;5;155;150;27;85;84;52;43;38;67;92;17;79;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;39%;0%;0%;0%;8
43;4;IE MANUEL SEOANE C.;6to;7;0;285;248;33;143;103;79;74;48;93;124;71;80;0;0;0;0;0;0;0;0;0;0;;3;0;0;0;34%;0%;0%;0%;7
44;5;"I.E. N° 4020 ""JOSÉ SANTOS CHOCANO""";6to;2;2;89;74;46;45;55;35;55;34;52;47;35;56;0;0;0;0;0;0;0;0;0;0;;7;0;0;0;66%;0%;0%;0%;14
45;5;"I.E. N° 5051 ""VIRGEN DE FATIMA""";6to;4;4;146;143;37;97;95;72;57;41;58;93;28;56;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;44%;0%;0%;0%;9
46;5;"I.E. N° 5052 ""VIRGEN DE LA MERCED """;6to;5;5;156;149;28;91;69;42;58;29;60;74;32;60;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;36%;0%;0%;0%;7
47;5;"I.E. N° 5053 ""VÍCTOR ANDRÉS BELAÚNDE""";6to;6;6;190;186;59;124;117;86;78;41;84;111;39;81;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;44%;0%;0%;0%;9
48;5;I.E. N° 5096;6to;3;0;116;114;19;57;56;45;43;21;33;58;32;44;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;36%;0%;0%;0%;7
49;5;I.E. N° 5137;6to;2;2;64;60;8;28;38;22;21;14;23;22;17;35;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;39%;0%;0%;0%;8
50;5;I.E. NUESTRA SEÑORA DE BELÉN;6to;3;3;107;99;48;75;43;41;45;46;50;65;34;60;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;51%;0%;0%;0%;10
51;5;I.E. FE Y ALEGRÍA 29;6to;3;3;100;97;22;65;74;51;27;30;60;69;10;48;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;47%;0%;0%;0%;9
52;6;I.E. Nº 4021;6to;4;4;133;106;24;62;45;46;38;17;39;68;25;51;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;39%;0%;0%;0%;8
53;6;"I.E. Nº 5090 ""ANTONIA MORENO DE CACERES""";6to;2;2;74;71;11;36;31;29;16;26;28;47;13;34;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;39%;0%;0%;0%;8
54;6;"I.E. Nº 5093 ""ANTONIO RAYMONDI""";6to;4;4;141;150;31;100;116;69;63;53;68;117;15;85;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;49%;0%;0%;0%;10
55;7;"I.E N° 5088 ""HÉROES DELPACÍFICO""";6to;3;3;97;89;16;51;53;39;23;19;34;55;20;53;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;41%;0%;0%;0%;8
56;7;"I.E. LICEO NAVAL C. DE C. ""MANUEL CLAVERO MUGA""";6to;3;3;86;78;23;45;29;32;20;20;29;48;13;36;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;38%;0%;0%;0%;8
57;7;IE 5091 HIJOS DE GRAU;6to;3;3;98;96;43;68;45;50;38;28;50;58;32;35;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;50%;0%;0%;0%;10
58;7;IE N 5086 POLITECNICO DE VENTANILLA;6to;5;5;155;153;50;92;72;71;44;56;73;97;24;56;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;38%;0%;0%;0%;6
59;7;IE N° 5130-1;6to;2;2;62;60;17;24;27;22;15;17;15;24;30;24;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;37%;0%;0%;0%;8
60;7;IE. N° 5130-3 VRHT;6to;1;1;30;30;9;20;12;9;9;6;10;15;5;21;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;39%;0%;0%;0%;8
61;7;IE.5118 CMDTE JUAN VALER SANDOVAL;6to;4;4;146;133;23;65;82;54;51;26;69;65;25;49;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;38%;0%;0%;0%;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACIERTOS POR ITEM;;;;61;0;6051;5800;1,461;3,574;3,227;2,536;2,190;1,582;2,423;3,439;1,487;2,706;0;3;0;0;0;0;0;0;0;0;;4;0;0;0;42.4%;0.0%;0.0%;0.0%;8
PORCENTAJES POR ITEMS;;;;;;;;25%;62%;56%;44%;38%;27%;42%;59%;26%;47%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personal Social;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N°;RED;INSTITUCION_EDUCATIVA;GRADO;SECCION;TURNO;NRO_DE_ESTUDIANTES_MATRICULADOS;NRO_DE_ESTUDIANTES_EVALUADOS;P 1;P 2;P 3;P 4;P 5;P 6;P 7;P 8;P 9;P 10;P 11;P 12;P 13;P 14;P 15;P 16;P 17;P 18;P 19;P 20;;;;;;;;;;
;;;;;;;;C3;C3;C3;C3;C3;C3;C3;C3;C3;C3;;;;;;;;;;;;;;;;;;;;
1;1;"I.E. Nº 5116 ""DIVINO CREADOR""";6to;2;2;51;48;20;12;16;5;16;10;27;11;11;10;0;0;0;0;0;0;0;0;0;0;;3;0;0;0;29%;0%;0%;0%;6
2;1;"I.E. Nº 5122 ""ANDRES RAZURI ESTEVEZ""";6to;3;3;105;105;20;61;48;10;67;43;53;35;14;31;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;36%;0%;0%;0%;7
3;1;"I.E. Nº 5124 ""LIBERTADOR SIMON BOLIVAR""  HIROSHIMA";6to;3;3;135;135;44;57;51;17;56;52;51;38;25;23;0;0;0;0;0;0;0;0;0;0;;3;0;0;0;31%;0%;0%;0%;6
4;1;"I.E. Nº 5125 ""CASUARINAS""";6to;5;5;172;163;54;59;91;12;103;64;85;35;70;25;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;37%;0%;0%;0%;7
5;1;"I.E. Nº 5127 ""MÁRTIR JOSE OLAYA """;6to;5;5;145;166;86;142;97;37;109;112;94;68;51;65;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;52%;0%;0%;0%;10
6;1;"I.E. Nº 5129 ""VENCEDORES DE PACHACÚTEC""";6to;4;4;137;126;50;70;60;36;77;44;65;39;30;35;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;40%;0%;0%;0%;8
7;1;"I.E. Nº 5130- ""PACHACÚTEC""";6to;5;5;179;158;67;85;74;25;90;77;65;38;50;46;0;0;0;0;0;0;0;0;0;0;;3;0;0;0;33%;0%;0%;0%;7
8;1;I.E. Nº 5140 PRES. DE LA REPUBLICA DE COLOMBIA DR. ALVARO URIBE VELEZ;6to;4;0;87;87;56;51;42;20;48;53;52;30;39;49;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;40%;0%;0%;0%;9
9;1;I.E. 5141;6to;3;3;107;112;55;46;67;7;38;58;57;49;43;37;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;42%;0%;0%;0%;9
10;1;I.E. Nº  5147;6to;2;2;43;41;22;28;24;5;26;24;25;12;7;17;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;44%;0%;0%;0%;9
11;1;IE Nº 5148 - LAS BRISAS DE PACHACÚTEC;6to;1;1;27;26;9;10;6;3;12;9;9;8;6;8;0;0;0;0;0;0;0;0;0;0;;3;0;0;0;31%;0%;0%;0%;6
12;1;I.E. N° 5154;6to;1;1;24;23;10;13;9;1;12;6;9;3;3;4;0;0;0;0;0;0;0;0;0;0;;3;0;0;0;0%;0%;0%;0%;0
13;1;I.E. FE Y ALEGRIA 59;6to;2;2;70;70;32;45;38;6;45;38;43;23;22;24;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;45%;0%;0%;0%;9
14;1;I.E. SAN JUAN MACIAS;6to;1;1;29;29;18;23;15;3;26;15;12;9;9;13;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;49%;0%;0%;0%;10
15;1;IE Nº 5142  - VIRGEN DE GUADALUPE;6to;2;2;75;67;24;34;19;9;32;28;33;23;18;12;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;35%;0%;0%;0%;7
16;2;"I.E. Nº 5117 ""JORGE PORTOCARRERO REBAZA""";6to;5;5;158;151;69;75;78;10;72;80;57;44;48;38;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;38%;0%;0%;0%;8
17;2;"I.E. Nº 5128 "" SAGRADO CORAZÓN DE MARIA""";6to;5;5;158;154;75;107;92;53;103;99;76;60;42;51;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;50%;0%;0%;0%;10
18;2;"I.E. Nº 5144 ""DIVINO CRISTO EN LAS ALTURAS""";6to;2;2;22;44;20;26;31;12;23;24;21;14;11;13;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;44%;0%;0%;0%;9
19;2;"I.E. Nº 5145 ""BALNEARIO""";6to;3;3;98;86;37;37;37;8;46;28;39;18;20;12;0;0;0;0;0;0;0;0;0;0;;3;0;0;0;32%;0%;0%;0%;6
20;2;I.E. Nº 5146;6to;2;2;72;67;15;41;28;8;30;23;19;13;22;10;0;0;0;0;0;0;0;0;0;0;;3;0;0;0;31%;0%;0%;0%;6
21;2;I.E. N° 5152;6to;1;0;37;34;14;20;16;2;19;12;14;10;10;8;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;37%;0%;0%;0%;7
22;2;"I.E. ""FE Y ALEGRIA"" Nº 76";6to;2;2;65;62;12;45;32;4;36;37;31;22;29;17;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;43%;0%;0%;0%;9
23;2;I.E. COPRODELI SAN FRANCISCO SOLANO;6to;2;0;63;63;48;56;39;41;35;45;40;40;30;40;0;0;0;0;0;0;0;0;0;0;;7;0;0;0;66%;0%;0%;0%;13
24;2;I.E. COPRODELI SAN MARTIN;6to;1;1;33;33;2;28;23;10;24;18;23;16;6;20;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;52%;0%;0%;0%;10
25;2;I.E. CROPODELI SANTA MARIA ASUNTA AL CIELO;6to;2;2;64;59;33;45;36;14;40;44;32;34;15;18;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;53%;0%;0%;0%;11
26;2;I.E. N° 5156 ELIAS AGUIRRE;6to;2;2;62;60;21;32;30;11;36;39;25;13;20;15;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;41%;0%;0%;0%;9
27;3;IE N° 5087;6to;2;2;61;56;26;27;27;6;23;32;33;13;17;16;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;39%;0%;0%;0%;8
28;3;IE N° 5120;6to;2;2;66;66;29;39;36;5;37;26;27;28;14;29;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;41%;0%;0%;0%;9
29;3;FE Y ALEGRIA N°43;6to;3;3;100;100;40;67;51;9;50;61;52;39;37;34;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;44%;0%;0%;0%;9
30;3; IE N° 3720 NUESTRA SEÑORA DE LA MISERICORDIA;6to;2;2;83;81;51;60;63;31;59;58;60;42;29;57;0;0;0;0;0;0;0;0;0;0;;7;0;0;0;63%;0%;0%;0%;13
31;3;ESCUELA HOGAR COMUNITARIA REGIONAL SAGRADA FAMILIA;6to;2;2;59;59;25;53;32;49;26;29;27;54;32;9;0;0;0;0;0;0;0;0;0;0;;6;0;0;0;57%;0%;0%;0%;12
32;3;IEN°5094 NACIONES UNIDAS;6to;3;3;89;82;39;44;32;16;46;44;41;33;28;23;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;43%;0%;0%;0%;9
33;3;IEN° 5123 FRANCISCO BOLOGNESI;6to;3;3;105;103;72;70;72;24;68;69;61;42;33;36;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;53%;0%;0%;0%;11
34;3;IE N° 3089  “LOS ANGELES”;6to;4;4;130;124;53;61;51;9;74;47;55;32;23;21;0;0;0;0;0;0;0;0;0;0;;3;0;0;0;34%;0%;0%;0%;7
35;3;IE N° 5077 “FAUSTINO SANCHEZ CARRION”;6to;5;5;131;167;89;112;93;45;109;116;86;79;71;58;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;52%;0%;0%;0%;10
36;3;IE 5121 “PEDRO PLANA SILVA”;6to;4;4;132;119;65;49;55;22;57;41;48;24;25;39;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;36%;0%;0%;0%;7
37;4;IE N° 5098 KUMAMOTO;6to;2;2;77;77;31;42;39;10;32;45;32;15;21;18;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;38%;0%;0%;0%;8
38;4;IE N° 5119 VILLA EMILIA;6to;5;5;147;140;82;93;96;33;92;89;90;63;54;66;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;55%;0%;0%;0%;11
39;4;IE N° 5130-2 VILLA DEL MAR;6to;1;1;27;26;5;9;8;3;13;6;7;11;6;11;0;0;0;0;0;0;0;0;0;0;;3;0;0;0;30%;0%;0%;0%;6
40;4;IE N° 5130-4 CHAVINILLO;6to;2;2;50;46;13;25;28;9;24;27;17;14;20;12;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;41%;0%;0%;0%;9
41;4;IE N° 5135 LA SALLE;6to;2;2;60;57;35;41;30;19;32;37;27;14;15;14;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;46%;0%;0%;0%;9
42;4;IE FE Y ALEGRIA N° 33;6to;5;5;157;151;70;82;75;9;96;78;71;42;47;34;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;40%;0%;0%;0%;8
43;4;IE MANUEL SEOANE C.;6to;7;0;290;250;122;132;113;31;141;113;111;59;51;61;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;38%;0%;0%;0%;8
44;5;"I.E. N° 4020 ""JOSÉ SANTOS CHOCANO""";6to;2;2;89;74;33;33;33;33;71;33;33;42;42;66;0;0;0;0;0;0;0;0;0;0;;6;0;0;0;61%;0%;0%;0%;12
45;5;"I.E. N° 5051 ""VIRGEN DE FATIMA""";6to;4;4;145;140;71;86;76;16;78;83;51;50;46;30;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;42%;0%;0%;0%;8
46;5;"I.E. N° 5052 ""VIRGEN DE LA MERCED """;6to;5;5;156;150;51;70;68;15;90;75;72;38;42;32;0;0;0;0;0;0;0;0;0;0;;3;0;0;0;29%;0%;0%;0%;6
47;5;"I.E. N° 5053 ""VÍCTOR ANDRÉS BELAÚNDE""";6to;6;6;191;188;109;130;105;33;109;105;82;63;52;74;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;46%;0%;0%;0%;9
48;5;I.E. N° 5096;6to;3;3;116;111;38;59;54;16;59;47;48;25;27;33;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;36%;0%;0%;0%;7
49;5;I.E. N° 5137;6to;2;2;64;63;25;28;27;10;31;31;28;20;14;12;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;36%;0%;0%;0%;8
50;5;I.E. NUESTRA SEÑORA DE BELÉN;6to;3;3;107;100;39;57;62;34;60;60;66;33;37;39;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;49%;0%;0%;0%;10
51;5;I.E. FE Y ALEGRÍA 29;6to;3;3;100;97;42;59;49;9;53;64;47;41;23;21;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;42%;0%;0%;0%;8
52;6;I.E. Nº 4021;6to;4;4;133;114;51;59;56;6;51;47;43;29;29;27;0;0;0;0;0;0;0;0;0;0;;3;0;0;0;31%;0%;0%;0%;6
53;6;"I.E. Nº 5090 ""ANTONIA MORENO DE CACERES""";6to;2;2;74;69;27;38;32;8;32;34;36;14;14;13;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;37%;0%;0%;0%;8
54;6;"I.E. Nº 5093 ""ANTONIO RAYMONDI""";6to;4;4;141;150;63;106;78;14;88;87;75;59;45;55;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;46%;0%;0%;0%;9
55;7;"I.E N° 5088 ""HÉROES DELPACÍFICO""";6to;3;3;97;89;41;45;46;9;57;47;47;22;16;21;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;39%;0%;0%;0%;8
56;7;"I.E. LICEO NAVAL C. DE C. ""MANUEL CLAVERO MUGA""";6to;3;3;86;83;29;47;50;3;34;53;40;31;34;17;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;41%;0%;0%;0%;8
57;7;IE 5091 HIJOS DE GRAU;6to;3;3;98;81;38;54;27;25;36;46;49;32;28;23;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;50%;0%;0%;0%;10
58;7;IE N 5086 POLITECNICO DE VENTANILLA;6to;5;5;155;153;60;105;91;44;76;93;74;91;66;66;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;49%;0%;0%;0%;7
59;7;IE N° 5130-1;6to;2;2;62;57;29;23;20;8;43;25;27;19;14;14;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;39%;0%;0%;0%;8
60;7;IE. N° 5130-3 VRHT;6to;1;1;30;29;12;15;11;12;14;15;18;9;11;6;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;42%;0%;0%;0%;8
61;7;IE.5118 CMDTE JUAN VALER SANDOVAL;6to;4;4;146;145;68;74;59;19;61;47;63;33;31;35;0;0;0;0;0;0;0;0;0;0;;3;0;0;0;32%;0%;0%;0%;6
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACIERTOS POR ITEM;;;;61;0;5972;5766;2,586;3,342;2,944;1,013;3,243;2,992;2,801;1,960;1,745;1,763;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;41.4%;0.0%;0.0%;0.0%;8
PORCENTAJES POR ITEMS;;;;;;;;45%;58%;51%;18%;56%;52%;49%;34%;30%;31%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;;;;;;;;;;
