Comprensión de Textos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N°;RED;INSTITUCION_EDUCATIVA;GRADO;SECCION;TURNO;NRO_DE_ESTUDIANTES_MATRICULADOS;NRO_DE_ESTUDIANTES_EVALUADOS;P 1;P 2;P 3;P 4;P 5;P 6;P 7;P 8;P 9;P 10;P 11;P 12;P 13;P 14;P 15;P 16;P 17;P 18;P 19;P 20;;CAPACIDADES;;;;%_POR_CAPACIDAD;;;;PROMEDIO_X_SECCION
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ciencia y Tecnología;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N°;RED;INSTITUCION_EDUCATIVA;GRADO;SECCION;TURNO;NRO_DE_ESTUDIANTES_MATRICULADOS;NRO_DE_ESTUDIANTES_EVALUADOS;P 1;P 2;P 3;P 4;P 5;P 6;P 7;P 8;P 9;P 10;P 11;P 12;P 13;P 14;P 15;P 16;P 17;P 18;P 19;P 20;;CAPACIDADES;;;;%_POR_CAPACIDAD;;;;PROMEDIO_X_SECCION
;;;;;;;;C1;C1;C1;C1;C1;C1;C1;C1;C1;C1;;;;;;;;;;;;C1;;;;C1;;;;
1;1;"I.E. Nº 5116 ""DIVINO CREADOR""";5to;3;3;55;47;26;11;12;23;9;23;28;42;22;8;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;43%;0%;0%;0%;9
2;1;"I.E. Nº 5122 ""ANDRES RAZURI ESTEVEZ""";5to;4;4;133;127;52;69;67;80;36;52;83;54;51;49;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;45%;0%;0%;0%;9
3;1;"I.E. Nº 5124 ""LIBERTADOR SIMON BOLIVAR""  HIROSHIMA";5to;4;4;169;168;112;75;83;81;58;72;74;108;58;71;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;48%;0%;0%;0%;10
4;1;"I.E. Nº 5125 ""CASUARINAS""";5to;5;5;174;164;94;45;47;92;39;80;106;137;75;40;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;46%;0%;0%;0%;9
5;1;"I.E. Nº 5127 ""MÁRTIR JOSE OLAYA """;5to;5;5;192;184;142;123;88;136;77;134;129;139;96;73;0;0;0;0;0;0;0;0;0;0;;6;0;0;0;62%;0%;0%;0%;12
6;1;"I.E. Nº 5129 ""VENCEDORES DE PACHACÚTEC""";5to;4;4;125;119;79;27;41;73;31;65;84;96;55;28;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;49%;0%;0%;0%;10
7;1;"I.E. Nº 5130- ""PACHACÚTEC""";5to;5;5;187;162;103;49;55;100;46;94;99;122;72;35;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;48%;0%;0%;0%;10
8;1;I.E. Nº 5140 PRES. DE LA REPUBLICA DE COLOMBIA DR. ALVARO URIBE VELEZ;5to;5;0;139;139;72;50;62;73;42;90;75;88;66;40;0;0;0;0;0;0;0;0;0;0;;3;0;0;0;31%;0%;0%;0%;6
9;1;I.E. 5141;5to;2;2;76;90;47;17;19;38;20;33;50;63;34;6;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;36%;0%;0%;0%;8
10;1;I.E. Nº  5147;5to;3;3;55;49;30;18;22;31;15;34;35;42;20;18;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;52%;0%;0%;0%;10
11;1;IE Nº 5148 - LAS BRISAS DE PACHACÚTEC;5to;1;1;33;29;18;11;13;19;11;20;21;23;21;5;0;0;0;0;0;0;0;0;0;0;;6;0;0;0;56%;0%;0%;0%;11
12;1;I.E. N° 5154;5to;1;1;33;26;15;7;8;14;4;12;13;22;15;5;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;44%;0%;0%;0%;9
13;1;I.E. FE Y ALEGRIA 59;5to;2;2;72;72;52;31;18;53;22;48;63;66;28;19;0;0;0;0;0;0;0;0;0;0;;6;0;0;0;55%;0%;0%;0%;11
14;1;I.E. SAN JUAN MACIAS;5to;1;1;36;36;27;9;16;30;14;28;29;33;17;7;0;0;0;0;0;0;0;0;0;0;;6;0;0;0;58%;0%;0%;0%;12
15;1;IE Nº 5142  - VIRGEN DE GUADALUPE;5to;2;2;78;68;37;26;19;40;14;35;42;55;26;16;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;45%;0%;0%;0%;9
16;2;"I.E. Nº 5117 ""JORGE PORTOCARRERO REBAZA""";5to;4;4;149;143;103;66;56;106;49;85;96;115;84;50;0;0;0;0;0;0;0;0;0;0;;6;0;0;0;57%;0%;0%;0%;11
17;2;"I.E. Nº 5128 "" SAGRADO CORAZÓN DE MARIA""";5to;5;5;150;138;88;50;47;94;40;83;103;124;58;37;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;52%;0%;0%;0%;10
18;2;"I.E. Nº 5144 ""DIVINO CRISTO EN LAS ALTURAS""";5to;2;2;57;52;34;20;16;30;14;20;35;43;20;11;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;47%;0%;0%;0%;10
19;2;"I.E. Nº 5145 ""BALNEARIO""";5to;3;3;69;88;43;19;29;60;26;40;54;74;40;12;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;45%;0%;0%;0%;9
20;2;I.E. Nº 5146;5to;2;2;63;62;35;16;16;31;23;33;40;53;21;13;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;45%;0%;0%;0%;9
21;2;I.E. N° 5152;5to;2;2;59;56;29;16;13;33;16;33;35;42;32;13;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;47%;0%;0%;0%;10
22;2;"I.E. ""FE Y ALEGRIA"" Nº 76";5to;2;2;70;63;42;18;18;55;16;41;49;57;29;18;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;55%;0%;0%;0%;11
23;2;I.E. COPRODELI SAN FRANCISCO SOLANO;5to;2;0;61;57;45;20;18;42;14;41;43;49;21;16;0;0;0;0;0;0;0;0;0;0;;6;0;0;0;54%;0%;0%;0%;11
24;2;I.E. COPRODELI SAN MARTIN;5to;1;1;34;34;26;13;11;29;7;25;28;30;17;10;0;0;0;0;0;0;0;0;0;0;;6;0;0;0;58%;0%;0%;0%;12
25;2;I.E. CROPODELI SANTA MARIA ASUNTA AL CIELO;5to;2;2;64;57;46;12;21;37;17;43;45;53;22;18;0;0;0;0;0;0;0;0;0;0;;6;0;0;0;55%;0%;0%;0%;11
26;2;I.E. N° 5156 ELIAS AGUIRRE;5to;2;2;74;73;48;26;26;52;15;52;52;60;35;14;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;52%;0%;0%;0%;11
27;3;IE N° 5087;5to;2;2;66;63;28;24;14;42;14;39;42;50;35;11;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;48%;0%;0%;0%;10
28;3;IE N° 5120;5to;3;3;97;97;50;19;28;61;31;59;61;78;54;19;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;48%;0%;0%;0%;10
29;3;FE Y ALEGRIA N°43;5to;3;2;98;95;70;42;28;68;26;73;76;89;47;21;0;0;0;0;0;0;0;0;0;0;;6;0;0;0;57%;0%;0%;0%;11
30;3; IE N° 3720 NUESTRA SEÑORA DE LA MISERICORDIA;5to;3;3;93;91;68;23;30;78;26;78;75;80;34;35;0;0;0;0;0;0;0;0;0;0;;6;0;0;0;58%;0%;0%;0%;12
31;3;ESCUELA HOGAR COMUNITARIA REGIONAL SAGRADA FAMILIA;5to;1;2;56;80;30;14;23;22;19;29;19;44;21;14;0;0;0;0;0;0;0;0;0;0;;3;0;0;0;29%;0%;0%;0%;6
32;3;IEN°5094 NACIONES UNIDAS;5to;4;4;131;127;66;35;40;49;33;60;67;87;44;30;0;0;0;0;0;0;0;0;0;0;;3;0;0;0;34%;0%;0%;0%;7
33;3;IEN° 5123 FRANCISCO BOLOGNESI;5to;3;3;95;92;57;35;27;75;24;75;67;79;42;26;0;0;0;0;0;0;0;0;0;0;;6;0;0;0;55%;0%;0%;0%;11
34;3;IE N° 3089  “LOS ANGELES”;5to;4;4;136;132;87;34;58;98;18;63;96;111;50;39;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;50%;0%;0%;0%;10
35;3;IE N° 5077 “FAUSTINO SANCHEZ CARRION”;5to;4;4;138;124;80;38;37;77;25;83;84;104;52;26;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;49%;0%;0%;0%;10
36;3;IE 5121 “PEDRO PLANA SILVA”;5to;4;4;113;109;73;57;48;76;43;75;71;91;58;41;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;41%;0%;0%;0%;12
37;4;IE N° 5098 KUMAMOTO;5to;2;2;77;73;50;27;25;49;19;30;56;56;37;28;0;0;0;0;0;0;0;0;0;0;;6;0;0;0;52%;0%;0%;0%;11
38;4;IE N° 5119 VILLA EMILIA;5to;3;3;103;98;52;42;39;49;32;38;47;69;29;24;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;43%;0%;0%;0%;8
39;4;IE N° 5130-2 VILLA DEL MAR;5to;1;1;31;31;16;19;20;14;16;19;22;26;9;13;0;0;0;0;0;0;0;0;0;0;;6;0;0;0;56%;0%;0%;0%;11
40;4;IE N° 5130-4 CHAVINILLO;5to;2;2;55;55;28;21;9;37;15;26;39;43;26;34;0;0;0;0;0;0;0;0;0;0;;6;0;0;0;52%;0%;0%;0%;10
41;4;IE N° 5135 LA SALLE;5to;2;2;54;54;29;21;22;38;19;30;34;39;26;19;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;51%;0%;0%;0%;11
42;4;IE FE Y ALEGRIA N° 33;5to;5;5;154;148;100;41;30;111;35;94;104;129;66;45;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;51%;0%;0%;0%;10
43;4;IE MANUEL SEOANE C.;5to;7;0;283;263;162;82;75;144;64;136;169;218;95;51;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;46%;0%;0%;0%;9
44;5;"I.E. N° 4020 ""JOSÉ SANTOS CHOCANO""";5to;2;2;89;76;37;21;29;41;34;47;53;58;45;29;0;0;0;0;0;0;0;0;0;0;;6;0;0;0;51%;0%;0%;0%;10
45;5;"I.E. N° 5051 ""VIRGEN DE FATIMA""";5to;4;4;108;128;95;44;53;70;27;75;79;103;62;32;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;50%;0%;0%;0%;10
46;5;"I.E. N° 5052 ""VIRGEN DE LA MERCED """;5to;6;6;191;175;87;47;67;108;69;109;107;137;89;50;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;50%;0%;0%;0%;10
47;5;"I.E. N° 5053 ""VÍCTOR ANDRÉS BELAÚNDE""";5to;9;9;289;260;157;77;71;150;66;134;161;206;114;61;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;46%;0%;0%;0%;9
48;5;I.E. N° 5096;5to;3;1;117;105;65;61;62;72;57;45;61;77;63;36;0;0;0;0;0;0;0;0;0;0;;6;0;0;0;57%;0%;0%;0%;11
49;5;I.E. N° 5137;5to;1;1;35;29;18;6;8;12;8;16;19;22;15;5;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;44%;0%;0%;0%;9
50;5;I.E. NUESTRA SEÑORA DE BELÉN;5to;3;3;102;88;40;26;25;51;28;48;63;67;31;28;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;46%;0%;0%;0%;7
51;5;I.E. FE Y ALEGRÍA 29;5to;3;3;96;90;62;30;30;77;22;74;75;82;28;26;0;0;0;0;0;0;0;0;0;0;;6;0;0;0;56%;0%;0%;0%;11
52;6;I.E. Nº 4021;5to;3;3;113;81;48;23;34;49;24;38;44;58;35;13;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;45%;0%;0%;0%;9
53;6;"I.E. Nº 5090 ""ANTONIA MORENO DE CACERES""";5to;2;2;31;61;34;28;25;41;17;34;39;46;27;6;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;49%;0%;0%;0%;10
54;6;"I.E. Nº 5093 ""ANTONIO RAYMONDI""";5to;4;4;134;131;82;71;76;88;56;68;57;51;66;46;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;51%;0%;0%;0%;10
55;7;"I.E N° 5088 ""HÉROES DELPACÍFICO""";5to;4;4;146;139;95;40;59;95;43;84;90;124;79;29;0;0;0;0;0;0;0;0;0;0;;6;0;0;0;53%;0%;0%;0%;11
56;7;"I.E. LICEO NAVAL C. DE C. ""MANUEL CLAVERO MUGA""";5to;3;3;90;91;61;27;24;53;25;58;64;70;41;25;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;49%;0%;0%;0%;10
57;7;IE 5091 HIJOS DE GRAU;5to;3;3;92;84;37;27;25;50;23;52;48;70;38;28;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;47%;0%;0%;0%;9
58;7;IE N 5086 POLITECNICO DE VENTANILLA;5to;3;3;108;107;75;33;28;87;36;66;78;85;47;24;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;52%;0%;0%;0%;10
59;7;IE N° 5130-1;5to;2;3;58;78;47;31;26;46;16;33;44;61;39;11;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;45%;0%;0%;0%;9
60;7;IE. N° 5130-3 VRHT;5to;2;2;78;64;31;26;23;37;20;40;28;47;30;18;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;40%;0%;0%;0%;8
61;7;IE.5118 CMDTE JUAN VALER SANDOVAL;5to;4;3;140;139;86;66;63;87;50;90;79;94;61;33;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;51%;0%;0%;0%;10
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACIERTOS POR ITEM;;;;61;0;6204;5961;3,648;2,102;2,122;3,754;1,755;3,434;3,829;4,641;2,670;1,608;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;49%;0%;0%;0%;10
PORCENTAJES POR ITEMS;;;;;;;;61%;35%;36%;63%;29%;58%;64%;78%;45%;27%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personal Social;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N°;RED;INSTITUCION_EDUCATIVA;GRADO;SECCION;TURNO;NRO_DE_ESTUDIANTES_MATRICULADOS;NRO_DE_ESTUDIANTES_EVALUADOS;P 1;P 2;P 3;P 4;P 5;P 6;P 7;P 8;P 9;P 10;P 11;P 12;P 13;P 14;P 15;P 16;P 17;P 18;P 19;P 20;;CAPACIDADES;;;;%_POR_CAPACIDAD;;;;PROMEDIO_X_SECCION
;;;;;;;;C3;C3;C3;C3;C3;C3;C3;C3;C3;C3;;;;;;;;;;;;C3;;;;C3;;;;
1;1;"I.E. Nº 5116 ""DIVINO CREADOR""";5to;3;3;49;50;19;29;18;33;25;15;28;22;18;30;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;47%;0%;0%;0%;9
2;1;"I.E. Nº 5122 ""ANDRES RAZURI ESTEVEZ""";5to;4;4;133;125;27;78;73;84;65;30;81;42;41;80;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;48%;0%;0%;0%;10
3;1;"I.E. Nº 5124 ""LIBERTADOR SIMON BOLIVAR""  HIROSHIMA";5to;4;4;169;168;71;95;84;49;84;69;84;66;63;81;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;45%;0%;0%;0%;9
4;1;"I.E. Nº 5125 ""CASUARINAS""";5to;5;5;174;167;43;108;72;77;93;49;107;53;50;100;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;45%;0%;0%;0%;9
5;1;"I.E. Nº 5127 ""MÁRTIR JOSE OLAYA """;5to;5;5;192;182;80;110;109;110;111;90;104;90;75;107;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;54%;0%;0%;0%;11
6;1;"I.E. Nº 5129 ""VENCEDORES DE PACHACÚTEC""";5to;4;4;130;119;31;70;55;63;52;46;68;52;45;59;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;45%;0%;0%;0%;9
7;1;"I.E. Nº 5130- ""PACHACÚTEC""";5to;5;5;187;165;66;116;102;95;112;92;111;56;69;99;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;54%;0%;0%;0%;11
8;1;I.E. Nº 5140 PRES. DE LA REPUBLICA DE COLOMBIA DR. ALVARO URIBE VELEZ;5to;5;0;139;139;60;84;86;109;71;51;70;55;48;98;0;0;0;0;0;0;0;0;0;0;;3;0;0;0;51%;0%;0%;0%;7
9;1;I.E. 5141;5to;2;2;76;90;8;44;28;36;37;16;44;17;26;41;0;0;0;0;0;0;0;0;0;0;;3;0;0;0;33%;0%;0%;0%;7
10;1;I.E. Nº  5147;5to;3;3;55;48;27;39;29;23;14;17;32;23;19;34;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;51%;0%;0%;0%;10
11;1;IE Nº 5148 - LAS BRISAS DE PACHACÚTEC;5to;1;1;33;31;2;17;16;17;16;11;19;10;15;14;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;44%;0%;0%;0%;9
12;1;I.E. N° 5154;5to;1;1;33;26;7;13;12;14;11;10;15;10;8;15;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;44%;0%;0%;0%;9
13;1;I.E. FE Y ALEGRIA 59;5to;2;2;72;72;20;50;51;54;49;18;54;34;35;57;0;0;0;0;0;0;0;0;0;0;;6;0;0;0;59%;0%;0%;0%;12
14;1;I.E. SAN JUAN MACIAS;5to;1;1;36;36;17;28;25;27;22;17;31;22;9;29;0;0;0;0;0;0;0;0;0;0;;6;0;0;0;63%;0%;0%;0%;13
15;1;IE Nº 5142  - VIRGEN DE GUADALUPE;5to;2;2;78;69;22;53;41;38;34;24;40;19;19;47;0;0;0;0;0;0;0;0;0;0;;3;0;0;0;27%;0%;0%;0%;6
16;2;"I.E. Nº 5117 ""JORGE PORTOCARRERO REBAZA""";5to;4;4;148;142;60;99;95;80;84;56;107;78;82;102;0;0;0;0;0;0;0;0;0;0;;6;0;0;0;59%;0%;0%;0%;12
17;2;"I.E. Nº 5128 "" SAGRADO CORAZÓN DE MARIA""";5to;5;5;150;140;47;102;72;107;89;44;107;58;51;93;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;55%;0%;0%;0%;11
18;2;"I.E. Nº 5144 ""DIVINO CRISTO EN LAS ALTURAS""";5to;2;2;57;50;8;38;30;18;27;20;38;18;19;27;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;48%;0%;0%;0%;10
19;2;"I.E. Nº 5145 ""BALNEARIO""";5to;3;3;104;86;24;45;39;60;48;29;50;30;28;40;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;45%;0%;0%;0%;9
20;2;I.E. Nº 5146;5to;2;2;61;62;16;41;33;41;37;21;41;24;29;32;0;0;0;0;0;0;0;0;0;0;;6;0;0;0;51%;0%;0%;0%;5
21;2;I.E. N° 5152;5to;2;1;59;55;12;40;25;41;21;15;41;13;23;32;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;48%;0%;0%;0%;10
22;2;"I.E. ""FE Y ALEGRIA"" Nº 76";5to;2;2;70;63;17;45;37;45;35;18;49;27;23;48;0;0;0;0;0;0;0;0;0;0;;6;0;0;0;55%;0%;0%;0%;11
23;2;I.E. COPRODELI SAN FRANCISCO SOLANO;5to;2;0;62;57;15;50;44;32;38;21;47;33;27;28;0;0;0;0;0;0;0;0;0;0;;6;0;0;0;59%;0%;0%;0%;12
24;2;I.E. COPRODELI SAN MARTIN;5to;1;1;34;34;15;27;25;20;26;9;29;13;18;27;0;0;0;0;0;0;0;0;0;0;;6;0;0;0;61%;0%;0%;0%;12
25;2;I.E. CROPODELI SANTA MARIA ASUNTA AL CIELO;5to;2;1;64;56;17;45;43;33;41;23;42;21;15;42;0;0;0;0;0;0;0;0;0;0;;6;0;0;0;58%;0%;0%;0%;12
26;2;I.E. N° 5156 ELIAS AGUIRRE;5to;2;2;74;78;29;53;42;58;46;20;57;44;32;52;0;0;0;0;0;0;0;0;0;0;;3;0;0;0;28%;0%;0%;0%;6
27;3;IE N° 5087;5to;2;2;66;64;22;38;34;42;40;18;36;18;24;33;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;48%;0%;0%;0%;10
28;3;IE N° 5120;5to;3;3;96;96;38;54;40;57;58;34;53;29;32;55;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;47%;0%;0%;0%;9
29;3;FE Y ALEGRIA N°43;5to;3;3;98;95;37;79;70;73;64;27;84;49;32;75;0;0;0;0;0;0;0;0;0;0;;6;0;0;0;62%;0%;0%;0%;13
30;3; IE N° 3720 NUESTRA SEÑORA DE LA MISERICORDIA;5to;3;3;93;91;36;72;75;62;70;32;80;44;48;76;0;0;0;0;0;0;0;0;0;0;;7;0;0;0;65%;0%;0%;0%;13
31;3;ESCUELA HOGAR COMUNITARIA REGIONAL SAGRADA FAMILIA;5to;2;2;56;64;8;18;9;12;18;14;12;8;7;11;0;0;0;0;0;0;0;0;0;0;;2;0;0;0;18%;0%;0%;0%;3
32;3;IEN°5094 NACIONES UNIDAS;5to;4;4;131;127;30;70;65;82;76;29;71;43;44;80;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;46%;0%;0%;0%;9
33;3;IEN° 5123 FRANCISCO BOLOGNESI;5to;3;3;95;92;30;65;62;67;53;43;71;47;39;77;0;0;0;0;0;0;0;0;0;0;;6;0;0;0;60%;0%;0%;0%;12
34;3;IE N° 3089  “LOS ANGELES”;5to;4;4;136;132;33;100;94;64;70;47;100;52;47;82;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;52%;0%;0%;0%;10
35;3;IE N° 5077 “FAUSTINO SANCHEZ CARRION”;5to;4;4;104;124;37;79;68;74;82;40;89;36;60;93;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;53%;0%;0%;0%;11
36;3;IE 5121 “PEDRO PLANA SILVA”;5to;4;4;113;111;45;71;71;70;74;56;79;50;55;81;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;44%;0%;0%;0%;12
37;4;IE N° 5098 KUMAMOTO;5to;2;2;77;73;17;43;38;48;15;12;48;33;28;55;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;47%;0%;0%;0%;10
38;4;IE N° 5119 VILLA EMILIA;5to;3;3;103;99;38;55;43;58;40;26;50;41;30;54;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;44%;0%;0%;0%;9
39;4;IE N° 5130-2 VILLA DEL MAR;5to;1;1;31;31;22;17;13;17;9;20;21;24;18;21;0;0;0;0;0;0;0;0;0;0;;6;0;0;0;59%;0%;0%;0%;12
40;4;IE N° 5130-4 CHAVINILLO;5to;2;2;55;55;28;36;31;29;28;14;36;25;15;29;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;50%;0%;0%;0%;10
41;4;IE N° 5135 LA SALLE;5to;2;2;54;54;29;38;30;22;30;17;25;20;16;41;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;50%;0%;0%;0%;10
42;4;IE FE Y ALEGRIA N° 33;5to;5;5;154;147;41;108;95;120;99;57;111;58;63;106;0;0;0;0;0;0;0;0;0;0;;6;0;0;0;59%;0%;0%;0%;12
43;4;IE MANUEL SEOANE C.;5to;7;0;283;266;87;158;133;162;132;69;163;103;86;136;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;39%;0%;0%;0%;8
44;5;"I.E. N° 4020 ""JOSÉ SANTOS CHOCANO""";5to;2;2;89;83;54;39;43;32;55;44;32;56;36;42;0;0;0;0;0;0;0;0;0;0;;6;0;0;0;52%;0%;0%;0%;10
45;5;"I.E. N° 5051 ""VIRGEN DE FATIMA""";5to;4;4;141;128;35;80;75;65;58;21;83;54;53;79;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;47%;0%;0%;0%;9
46;5;"I.E. N° 5052 ""VIRGEN DE LA MERCED """;5to;6;6;191;174;64;122;112;95;101;58;119;65;52;93;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;51%;0%;0%;0%;10
47;5;"I.E. N° 5053 ""VÍCTOR ANDRÉS BELAÚNDE""";5to;9;9;289;267;90;159;161;147;139;65;179;100;88;160;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;48%;0%;0%;0%;10
48;5;I.E. N° 5096;5to;3;3;117;103;40;58;62;64;43;54;73;42;38;55;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;50%;0%;0%;0%;10
49;5;I.E. N° 5137;5to;1;1;35;28;8;19;13;11;9;7;9;7;6;16;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;38%;0%;0%;0%;8
50;5;I.E. NUESTRA SEÑORA DE BELÉN;5to;3;3;102;88;23;52;44;29;52;23;64;32;30;61;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;46%;0%;0%;0%;9
51;5;I.E. FE Y ALEGRÍA 29;5to;3;3;96;88;36;74;63;65;61;27;77;36;38;74;0;0;0;0;0;0;0;0;0;0;;6;0;0;0;62%;0%;0%;0%;12
52;6;I.E. Nº 4021;5to;3;3;113;96;23;46;46;45;54;22;44;28;21;43;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;39%;0%;0%;0%;8
53;6;"I.E. Nº 5090 ""ANTONIA MORENO DE CACERES""";5to;2;2;63;56;24;37;41;37;40;20;39;24;16;34;0;0;0;0;0;0;0;0;0;0;;6;0;0;0;56%;0%;0%;0%;11
54;6;"I.E. Nº 5093 ""ANTONIO RAYMONDI""";5to;4;4;134;131;40;93;84;74;101;43;107;61;67;104;0;0;0;0;0;0;0;0;0;0;;6;0;0;0;60%;0%;0%;0%;12
55;7;"I.E N° 5088 ""HÉROES DELPACÍFICO""";5to;4;4;146;140;44;100;75;63;79;38;96;55;56;102;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;51%;0%;0%;0%;10
56;7;"I.E. LICEO NAVAL C. DE C. ""MANUEL CLAVERO MUGA""";5to;3;3;90;89;40;72;63;62;57;34;68;32;26;61;0;0;0;0;0;0;0;0;0;0;;6;0;0;0;57%;0%;0%;0%;12
57;7;IE 5091 HIJOS DE GRAU;5to;3;3;92;82;28;50;52;55;51;26;50;27;34;60;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;53%;0%;0%;0%;11
58;7;IE N 5086 POLITECNICO DE VENTANILLA;5to;3;3;108;107;39;73;63;72;77;36;78;41;35;64;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;54%;0%;0%;0%;11
59;7;IE N° 5130-1;5to;3;3;58;77;21;39;35;45;44;14;43;31;20;43;0;0;0;0;0;0;0;0;0;0;;4;0;0;0;43%;0%;0%;0%;9
60;7;IE. N° 5130-3 VRHT;5to;2;2;66;63;22;29;39;28;36;17;27;18;28;30;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;43%;0%;0%;0%;9
61;7;IE.5118 CMDTE JUAN VALER SANDOVAL;5to;4;4;33;139;55;93;80;82;77;46;81;56;41;81;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;50%;0%;0%;0%;10
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACIERTOS POR ITEM;;;;61;0;6147;5970;2,024;3,855;3,408;3,494;3,380;1,981;3,894;2,375;2,216;3,721;0;0;0;0;0;0;0;0;0;0;;5;0;0;0;49%;0%;0%;0%;10
PORCENTAJES POR ITEMS;;;;;;;;34%;65%;57%;59%;57%;33%;65%;40%;37%;62%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
